rcv		30.708		D		2900	50	1
snd		30.945		A		1	0	2700
rcv		31.19		D		3000	28	1
snd		31.482		A		1	0	2700
rcv		31.776		D		2700	50	1
snd		31.981		A		1	0	2750
rcv		32.314		D		2750	50	1
snd		32.615		A		1	0	2800
rcv		32.978		D		2800	50	1
snd		33.205		A		1	0	2850
rcv		33.45		D		2850	50	1
snd		33.705		A		1	0	2900
rcv		34.008		D		2900	50	1
snd		34.271		A		1	0	2950
rcv		34.534		D		2950	50	1
snd		34.788		A		1	0	3000
rcv		35.087		D		3000	28	1
snd		35.321		A		1	0	3028
rcv		35.663		F		3028	0	1
snd		36.176		A		1	0	3029
snd		36.444		F		1	0	3029
rcv		36.744		A		3029	0	2
===================================================
Amount of data received (bytes)                3027
Total Segments Received                        0
Data segments received                         0
Data segments with Bit Errors                  0
Duplicate data segments received               0
Duplicate ACKs sent                            0
===================================================
